9.0,16.0
8.5,16.0
8.5,16.0
8.5,16.2
8.5,16.5
9.2,17.0
8.5,17.0
9.2,17.0
9.0,17.5
9.2,17.5
9.5,18.0
9.5,18.5
10.0,19.0
10.0,19.5
11.0,19.5
9.0,16.5
9.0,17.0
9.0,17.0
9.5,17.0
9.2,17.0
9.0,17.0
10.0,17.0
9.0,17.0
9.2,17.0
9.2,17.0
9.2,17.0
9.2,17.0
9.0,17.2
9.0,17.2
9.5,17.5
9.5,17.5
9.5,17.5
10.0,17.8
10.0,18.0
9.5,18.0
10.0,18.0
9.8,18.5
10.0,18.5
10.0,19.0
10.0,19.0
10.5,19.5
7.5,14.0
8.5,15.0
8.2,15.0
8.2,15.0
8.5,15.0
8.2,15.0
9.0,15.0
8.2,15.5
8.5,15.5
9.0,15.5
8.5,16.0
8.8,16.0
9.2,17.0
10.0,17.5
10.0,17.5
10.0,17.8
10.5,18.0
10.0,18.0
10.2,18.2
10.5,19.0
10.0,19.8
10.0,19.8
11.0,20.2
9.8,18.5
6.0,9.0
6.2,10.0
6.0,9.5
